Is Redis,Is Time Constant,No of Users (Peak Concufrancy),Ramp Up (Users Started/Second),Run time (s),Type,Name,Total Requests,Fails,Median (ms),95%ile (ms),99%ile (ms),Average (ms),Min (ms),Max (ms),Average size (bytes),Current RPS,Current Failures Per Second,,,,,,,,,
No,Yes,100,100,60,GET,get todo id,8420,0,220,240,280,217.84,12,512,121.07,455.4,0,,,,,,,,,
No,Yes,200,200,60,GET,get todo id,26907,0,440,470,580,443.79,20,1409,121.1,449.4,0,,,,,,,,,
No,Yes,300,300,60,GET,get todo id,26531,0,670,710,730,674.08,19,1712,121.23,445.1,0,,,,,,,,,
No,Yes,400,400,60,GET,get todo id,26225,0,910,970,1000,907.32,15,3572,121.29,438.3,0,,,,,,,,,
No,Yes,500,500,60,GET,get todo id,26293,0,1100,1200,1300,1129.98,30,3021,121.28,433.6,0,,,,,,,,,
No,Yes,600,600,60,GET,get todo id,11617,10806,2000,2300,3800,2042.85,31,5094,8.45,186.5,186.5,,,,,,,,,
No,Yes,700,700,60,GET,get todo id,19483,19483,2010.5,2400,2500,2108.4,2011,2482,0,343.2,343.2,,,,,,,,,
No,Yes,800,800,60,GET,get todo id,22052,22052,2100,2400,2500,2127.73,2007,2540,0,389.7,389.7,,,,,,,,,
No,Yes,900,900,60,GET,get todo id,23836,23836,2200,2500,2600,2215.25,2009,2625,0,434.2,434.2,,,,,,,,,
No,Yes,1000,1000,60,GET,get todo id,26905,26905,2100,2600,2700,2176.19,2016,2708,0,478.4,478.4,,,,,,,,,
No,No,200,200,30,GET,get todo id,13766,0,430,470,480,432.28,7,1064,121.36,467.1,0,,,,,,,,,
No,No,200,200,60,GET,get todo id,26836,0,450,470,490,445.03,27,845,121.18,442.2,0,,,,,,,,,
No,No,200,200,90,GET,get todo id,41939,0,430,450,470,427.74,12,915,121.21,468.8,0,,,,,,,,,
No,No,200,200,120,GET,get todo id,55357,0,430,460,500,432.31,18,1014,121.25,463.5,0,,,,,,,,,
No,No,200,200,150,GET,get todo id,68032,0,440,460,480,439.96,34,820,121.26,448.7,0,,,,,,,,,
No,No,200,200,180,GET,get todo id,83163,0,430,450,470,431.91,13,977,121.25,466.1,0,,,,,,,,,
No,No,200,200,210,GET,get todo id,95817,0,440,450,470,437.46,15,1018,121.24,440,0,,,,,,,,,
No,No,200,200,240,GET,get todo id,110047,0,440,450,460,435.38,14,1022,121.25,457.8,0,,,,,,,,,
No,No,200,200,270,GET,get todo id,123689,0,440,450,480,435.83,14,1008,121.26,462.7,0,,,,,,,,,
No,No,200,200,300,GET,get todo id,136324,0,440,450,470,439.4,18,1258,121.2,449.6,0,,,,,,,,,
Yes,Yes,100,100,60,GET,get todo id,31563,0,180,260,370,190.04,49,689,121.26,543.1,0,,,,,,,,,
Yes,Yes,200,200,60,GET,get todo id,32292,0,360,410,500,369.94,14,943,121.26,553.1,0,,,,,,,,,
Yes,Yes,300,300,60,GET,get todo id,33343,0,540,560,600,536.36,7,1331,121.2,553.4,0,,,,,,,,,
Yes,Yes,400,400,60,GET,get todo id,33082,0,710,770,1000,720.22,8,1746,121.34,563.5,0,,,,,,,,,
Yes,Yes,500,500,60,GET,get todo id,33649,0,890,930,940,884.56,19,2316,121.29,562.7,0,,,,,,,,,
Yes,Yes,600,600,60,GET,get todo id,11732,10836,2100,2300,4600,2019.89,8,4691,9.23,187.4,187.4,,,,,,,,,
Yes,Yes,700,700,60,GET,get todo id,19040,19040,2100,2400,2500,2150.07,2015,2518,0,320.6,320.6,,,,,,,,,
Yes,Yes,800,800,60,GET,get todo id,16953,16153,2100,2400,4300,2095.53,18,4423,5.74,297.8,297.8,,,,,,,,,
Yes,Yes,900,900,60,GET,get todo id,19456,18624,2100,2400,4500,2092.05,42,4660,5.19,339.2,339.2,,,,,,,,,
Yes,Yes,1000,1000,60,GET,get todo id,12655,11636,2100,3300,5300,2195.27,30,5384,9.27,397.4,397.4,,,,,,,,,
Yes,No,200,200,30,GET,get todo id,16163,0,370,410,450,368.34,15,902,121.21,544.7,0,,,,,,,,,
Yes,No,200,200,60,GET,get todo id,30953,0,370,450,480,385.73,8,1052,121.12,548.5,0,,,,,,,,,
Yes,No,200,200,90,GET,get todo id,48813,0,360,400,450,367.58,15,887,121.26,542.5,0,,,,,,,,,
Yes,No,200,200,120,GET,get todo id,65255,0,360,400,450,366.84,14,866,121.24,543.6,0,,,,,,,,,
Yes,No,200,200,150,GET,get todo id,82272,0,360,380,420,363.81,5,874,121.25,549.9,0,,,,,,,,,
Yes,No,200,200,180,GET,get todo id,96130,0,360,430,510,373.71,15,934,121.25,547.1,0,,,,,,,,,
Yes,No,200,200,210,GET,get todo id,114864,0,360,390,470,364.91,8,851,121.2,556.9,0,,,,,,,,,
Yes,No,200,200,240,GET,get todo id,129766,0,360,390,640,368.75,34,2904,121.27,563.7,0,,,,,,,,,
Yes,No,200,200,270,GET,get todo id,149739,0,360,380,400,360.01,15,993,121.23,551.8,0,,,,,,,,,
Yes,No,200,200,300,GET,get todo id,166606,0,360,380,390,359.54,8,907,121.23,555.2,0,,,,,,,,,
